Tweets;Hatespeech
Genau und deswegen arbeitet ihr lieber mit der Grünen Koboldin zusammen Ziemiak und bereitet Merkel 2.0 vor mit der Bärbock.Ihr seid so ein verlogener CDU Haufen einfach nur noch Abartig.;1
Faschismus beginnt mit Worten, mit der Radikalisierung der Sprache. Mit dem Schüren von Ängsten und dem Erzeugen einer erdachten Bedrohungslage. So wie in Ihren beiden letzten Antworttweets eben.;0
"Top, dass was getan wird. Denn die alten Bienen überleben #5G nicht.  Damit auch Morgen noch Bienen kraftvoll rumfliegen. #TOP5G    Das A…loch #Wiltewka, alias der #EkelWilfred, Papa #Wilberg von der Capitol, #WilayaWilanar &amp; O. #Wilke  https://t.co/qfwpjpu8De";1
hab mir fürs neue Jahr vorgenommen diesen Herrn Stiehl zu Trollen..;1
Besser kann man das nicht ausdrücken! 😊;0
Wie oft denn noch, die AfD ist nicht antijüdisch sondern antiislamisch, somit ist der alte Zionheuchler #Broder dort sehr gut aufgehoben!;1
Nicht böse sondern einfach Latten-kacken-Dämlich! Aber das geistige Rechtsgesindel-Pantoffeltierchen steht Ihnen äußerst gut! Frei nach dem Motto dumm, dümmer, AFD! Rechtes widerliches dummes Gesindel eben! #FCKNZS #fckafd #AfDrausausdenParlamenten #afdverbotjetzt;1
Das 1.Bullenrevier hat laut Foto-Bericht der Bullen selbst ein kleines Feuerspektakel vor der Haustür....#18M #18nulldrei;1
Ich weiss nicht wo sie sind? Wenn sie allerdings auf einen Sonntag im Kindergarten sind,könnte man das Einbruch nennen. Ich sitze im Garten und trinke Kaffee;0
ja man deine fresse 😅 viel glück bei den Frauen 👍;0
So einige, aber eben nicht nur Bild, Tichys, Welt, Focus oder die Gala!!;0
????? am Tag der Befreiung mit einem aufgenähtem Stern einkaufen gehen und auch noch stolz drauf? Das wird heute nur schwer zu überbieten sein...;0
Steffen hat vermutlich den Artikel gepostet um es den einfacheren Gemüten der ?? Fraktion etwas zu erleichtern. Aber Du scheinst ja ein ganz aufgewecktes Exemplar zu sein, deswegen darfst Du gerne auch die Studie zum Artikel lesen. https://t.co/VN2zrZOSab;0
Man schaue sich die Bilder an und warte auf die Polizeiberichte. Wir haben hier einen importierten arabischen Antisemitismus, den es vor einigen Jahren noch nicht gab.;1
kannst du dummer Trol nicht mMenschen wie mich mit scheisse voll quatschen... mach den Baum aus deinem Ava... du seelenloser geistiger Krüppel!... mach dir nen Kantholz draus... du zu Leben unwürdiger...;1
Ich musste gerade lesen das ich wahrscheinlich rechts bin. Ich hätte teilgenommen. Mich würde einmal interessieren: wieviele Menschen haben sich nicht getraut, ihren Unmut, über diese grausame Tat kund zu tun, um nicht als rechts diffamiert zu werden ? Das ist so krank.;0
Ich habe auf Ihre Antwort geantwortet. Der Zusammenhang dürfte relativ klar erkennbar sein. Wenn man sich denn nicht willentlich verschließt. Ebenfalls.;0
'Regierung soll sich an Recht + Gesetz halten' - bei Grenzwerten.  Warum nicht beim Grenzschutz, du Nervensäge Robert Habeck?   #illner;1
Frau Barley hat doch nun wirklich genug Unsinn reden dürfen. Sie scheint eine persönliche Rechnung mit einem Makler offen zu haben.;0
Aber nur a la science wie auf den Bildern https://t.co/cfVAVBJQ6n;0
Absinth? Muss man sich denn völlig 'zuknallen'? Es geht doch auch mit Schönheit und entsprechender 'Hilfe'. https://t.co/izolIS6hlJ;0
Interessant, die These, wenn man bedenkt, dass viele (führende) AfD Politiker Migrationshintergrund haben. Das interessiert Sie wohl nicht, Hauptsache hetzen.;0
ja vor allem der BER Flughafen in Berlin der noch Jahre braucht 😂hat Auswirkungen auf den Frankfurter Döner. in Berlin ist Kaplan der lässt ihn rein😂man sollte auch mal ehrlich zu sich selbst sein warum u. weshalb !! u. nicht versuchen die Leute für Dumm zu verkaufen;1
findest du nicht ? Die Politik hat es doch erst möglich gemacht das Konzerne damit handeln können.;0
sehr gefährlich wenn Regenbogenhirne intoleranten Kriminellen die Grenzen öffnen!! Die schlimmste Gewaltwelle erleben aus dieser Richtung.;1
Wie jetzt, Laschet hat Klausuren verschlampt und Noten manipuliert?;0
Ich unterstütz oder sympathisier nicht mit der Linken oder irgendwas mit der Antifa oder sie selber. Keinesfalls. Aber eben die Querdenker wollten halt letztes Jahr das Reichstagsgebäude stürmen, das zu unterstützen is dumm und jegliche Verbindung der AfD dazu abzustreiten auch.;0
Da brauch ich keinen Boris für. Brauchst du einen Lauterbach um dich zu steuern? LOL Alleine an euren Aussagen merkt man, wie gesteuert ihr seid.;0
Dieser Hintergrund war mir nicht bekannt. Interessant.;0
Berlin kann nicht nur Flughäfen nicht bauen. Auch mit 'Heizung und Kühlanlagen' für große Immobilien ist die Hauptstadt überfordert. Wie wäre es mit einem Preisschild für die ganze Stadt - und dann einstellen bei Alibaba? https://t.co/6otk0bSXiv.;0
Kein Wahlprogramm, Politiker, die kriminell oder rechts sind, die Hütte brennt an allen Enden, Merkel hinterlässt einen Haufen Müll, du hast keinen Anstand und keinen Funken Intelligenz beim Twittern. Was die Pandemie schafft: Die dumme, ekelhafte Seite der CDU klar rausstellen.;1
Man kann zur AfD stehen wie man will, aber warum darf Frau #HarderKühnel nicht zur Bundestagsvizepräsidentin gewählt werden, aber Claudia Roth? Roth vertritt als Vize den Bundestag, aber läuft auf Demos mit bei denen 'Deutschland verrecke' skandiert wird.   https://t.co/7F5DECXHdh;0
#blockupy airport: gerade haben Leute versucht auf eigene Faust ins Terminal zu kommen. Bullen reagieren mit Knüppeln. Scheiße sowas.;1
Versucht nächstes mal die Bilder besser zu fälschen 😂;0
Bitte macht einmal eine Sendung, in der genau aufgezeigt wird, wie viele infizierte Personen es in Deutschland seit März gegeben hat und wie die Infektion bei den Meisten verlaufen ist. Eine Schwalbe macht noch keinen Sommer. Grippe verläuft auch nicht immer gleich gut oder schlimm. Nein, ich bin kein Coronaleugner, nur diese Angstschürrerei ist nervtötend.;1
solcherlei sülz sondern die sofakämpfer seit 50 jahren ab und??? haben Sie irgendwas geändert, verhindert, erreicht?? es gibt die zentrale für alles, was man hier darf und was nicht. der zufall ist eine erfindung der philosophen, um uns bei laune und hoffnung zu halten.;0
Und selbst die braunen Hobbynazis dürfen ihren Brechdurchfall von sich geben, verrückt.;0
"14 Jahre lang 'Morbus Merkel'; da hilft nur Prof. Meuthen mit der alternativen Medizin für Deutschland. https://t.co/2tixyUeC3T";0
Soft-Islamisten die finanziert vom Rundfunkbeitrag so ne Kacke ins Internet rotzen.https://t.co/XK0f4IEsYM;1
#Aschiebehaft u. die #GrüneKhmer, mehr muss man eigentlich nicht wissen.  Falls es dem Herrn Lauinger entgangen sein sollte, hier noch mal zum Mitschreiben für Menschen mit Denkdefizit: Bevor ein Mensch in Abschiebehaft genommen wird, kann er immer noch freiwillig ausreisen. https://t.co/4Q7srVIica;1
Schlepper und Schleuser, die schweres Heizöl auf dem Mittelmeer verballern und von den Kirchen finanziert werden;0
Den Wolf bekämpfen,aber tausende Messermänner ins Land lassen und alimentieren,genau mein Humor!;1
Nikolai: Überlebenskampf hautnah – Survival-Kurs 🔥 bei Wolfszeit – Teil 1 https://t.co/t7rmtR9SoH https://t.co/i0XBTK0Tjz;0
Wir müssen organisieren, dass Menschen gar nicht erst fliehen müssen. Wir müssen uns für Frieden einsetzen und eine faire Wirtschaft. Wir müssen klären, wie wir in Europa zusammenarbeiten. Was wir jedenfalls nicht tun können, ist an den Grenzen auf Schutzsuchende zu schießen.;0
und eigentlich, ja eigentlich hätte sie gewonnen, wenn nicht das amerikanische Wahlsystem keinen eigentlichen Gewinner kennen würde!;1
Selbst Wolfgang Bosbach hat kein Bock mehr auf #Lanz, der saß nämlich beim Kölner Treff  und lernte Dinge über Diversität und Rassismus und den damit verbundenen Struggle, den Menschen immer noch bewältigen müssen, weil Nazitrullas wie Alice Weidel die Gesellschaft spalten.;1
Vergiss es... von den Trotteln überlegt keiner mehr!  Nach ausnehmen der Bürger ist im Kopf ende!;1
Stimme Ihnen zu. Die Phrasen dieses Fanatikers sind unerträglich. Er geht auf die gestellten Themen erst garnicht ein,.... bringt nur wieder den Satz, den er gerade los werden will. Aber dies gehört, so scheint es, zur US-Medienwelt.;1
Besser ein #echter #Komiker als #Führungsspitze der #Ukraine. Als unfreiwillig #falsche Komiker-/innen, wie in den meisten anderen #Ländern.  😉    Das A…loch #Wiltewka, alias der #EkelWilfred, Papa #Wilberg von der Capitol, #WilayaWilanar und O. #Wilke    https://t.co/8pchVSPICz;1
"Es ist noch gar nicht so lange her, dass ich großen Respekt vor der Polizei hatte. ""Freund und Helfer"", ""Bürger in Uniform"" und so... Heute empfinde ich für diese uniformierte StaatsGEWALT nur noch Ekel und Verachtung. ??";1
Heiko Maas wird Außenminister❗️Nun kann er ja dem Rest der Welt zeigen, wie Meinungsfreiheit funktioniert❗️❗️ https://t.co/LIP8RDV105;0
es werden immer noch keine demonstrantinnen in das terminal gelassen. #blockupy;0
Sehr bedenklich;1
Wenn diese verlogene Visage sehe könnte ich so explodieren;1
Der Aussage widerspreche ich. Das sind reine Vermutungen, die du nicht belegen kannst, und die auch nicht gut argumentiert sind. Wir forschen und forschen und wir würden absolut DIE Kohle machen, wenn wir ein Heilmittel finden würden;0
Schon bemerkt? Das unterlegt neuerdings seine Filmberichte über (d.h.: gegen) #Trump mit leise-bedrohlicher Synthesizermusik. |LBR| Denn das #Relotius-Prinzip des Mainstreams besteht nicht nur aus plumper Lügerei. Es umfasst alle Arten der psychologischen Manipulation.;1
Oh..Hänschen..hast du Hilfe?Kommt Mutti gleich um dir den Mund mit Seife auszuwaschen;0
Europäer sind ja auch Christen und haben keine Probleme mit unserer Religion und Weltanschauung. Wie sagte Helmut Schmidt bei Maischberger ! Der Islam gehört nicht zu Deutschland;0
Genau deshalb bekommen die mich nicht!;0
.Am besten ist ja das hämische lachen von den Grünen.;1
Das können wir bestätigen!;0
Hinweis an Meldemuschis und Zensurschnepfen! Ich stelle mit diesem Tweet bloß ein Frage! Lasst mich also bitte weiter tweeten!  Auf welche Weise dienen die Russland-Sanktionen und die Milliarden Entwicklungshilfe an China dem Wohle des deutschen Volkes und wenden Schaden von ihm?;1
Moin zusammen <U+0001F44B><U+0001F44B><U+0001F44B> |LBR| Schon Donnerstag. Diese erste Arbeitswoche vergeht ja wie im Flug.;0
"1. was hat die afd damit zu tun? 2. Der Staat und die Medien gehen gegen jeden vor der eine andere Meinung hat als sie! Jeder ist ein ""Nazi"" 3.haben Sie sich überhaupt schon mal mit Polizisten unterhalten?! 4. Manche Eltern, der Staat und die Presse unterstützen Schule schwänzen! Die Schulpflicht wird bei Seite geschoben! Es wird suggeriert, dass Gesetze nicht beachtet werden müssen.";1
Diese Form von Wahlkampfeinmischung aus dem Ausland geht scheinbar wohl klar. Sind ja immerhin keine Russen.;1
Das hat doch nichts mit Rollenverteilung oder gar Diskriminierung zu tun! Es ist doch völlig normal, dass es nun mal Dinge gibt die vorwiegend Frauen und vorwiegend Männer machen. Fast jede Frau die ich kenne kauft gerne Handtaschen oder Schuhe, bzw. hat Lippen- und Kajal-Stifte zu Hause. Umgekehrt hat fast jeder Mann nen Werkzeugkasten im Keller, guckt Fussball oder mäht Rasen. Natürlich kann es auch anders rum sein - na und? Es hat immer schon Bücher für Jungen und Bücher für Mädchen gegeben, mit unterschiedlichen Inhalten. Ebenso Wundertüten. Also ich hab mich früher nie beschwert wenn ich in der blauen Tüte ein Auto hatte, dass ich lieber ne rosa Tüte mit Puppe wollte 🤣 Langsam ist dieser ganze Genderwahn echt nicht mehr zum Aushalten!;0
Was für ein Quatsch. Wofür braucht man so einen teuren Winkaugust? Verschwendung von Geld.;0
Für Europa wird sich nichts ändern, die alten Männer und die Sümpfe hinter ihnen wird die „America First“ Politik fortführen. Europa sollte endlich zusammenrücken und mit einer demokratisch gewählten Stimme auftreten!;1
Wenn mein Hausarzt mich entgegen der Stiko gegen Influenza impfen lassen will, ist er dann auch machtbesessen?;0
Wer hat dem kriminellen Grapscher das geschrieben? So viel IQ hat der nicht, dass der auch nur einen Satz fehlerfrei schreiben kann.;1
ist soweit richtig, fühle mich nicht angegriffen, ich schrieb es auch mit Ironie...freilich muss Politik was ändern, aber der alte Mensch hat eben keine Lobby mehr...wenn ich mehr dazu schreibe, platzt mir der Kragen und ich möchte mich jetzt nicht über *Banker* insbesondere auslassen 😠😱;1
Sie haben auf Ihrer Seite wortwörtlich gepostet - die AfD ist Mittäter - das würde ich so nicht tun - das müssen sie selbst verantworten was Sie da veröffentlichen - ich würde dsas so nicht tun denn Sie sind nicht die Polizei - die hat das Recht dazu nicht Sie. Wie ich bei Ihnen gelesen habe sind Sie Liebhaber der Antifa - da ist ja alles klar so unbescholten ist die auch nicht oder irre ich was man so hört?;1
Kann dir gerne per DM den Link zu allen meinen 6 Anzeigen schicken wenn du willst?;0
++ #Europawahl2019: Unser Erfolgsweg geht weiter! ++  Setzen Sie am Sonntag ein deutliches Zeichen für 🇩🇪 #Deutschland. Sorgen Sie durch einen Denkzettel für die Altparteien dafür, dass wir Bürger wieder Gehör finden.  #GehWaehlen #EP2019 #AfD #EUWahl2019  🎬 https://t.co/H6CiSs7CJM https://t.co/1GPX6n9eb5;0
"Dein Profil bedient jedes linkradikale ""Narrativ"" &amp redest von ""den Mutigen gehört die Welt"". Ich wette du hast dich in deinem ganzen Leben noch nie außerhalb von Tw. oder umgeben von Antifa Schlägern für irgendetwas stark gemacht. Für große Fresse im Netz braucht man keinen Mut.";0
Ach seit wann tragen die zu ihrem Kopftuch keine Jeans? Wo leben Sie, im Wald? Wann haben Sie jemals eine Frau mit Kopftuch gesehen? Vielleicht ihre Oma, die keine Jeans trug...;0
Offensichtlich haben die Stimmenverluste für CDU und SPD noch nicht ausgereicht. Diese überbezahlten Politiker werden einfach nicht schlau! Es ist unerträglich was auf der EU-Ebene vor sich geht. Das hat mit Demokratie nicht mehr viel zutun.;1
Unser Deutschland lassen wir uns nicht von unserem Regime stehen  #Umvolkung https://t.co/lCwi7gYW7V;0
Ihr Lieben! |LBR| Bevor die TL explodiert....nur weil der 41. Verbrecher an der Spitze der Mutter aller Imperialisten gestorben ist, müsst ihr mir heute NICHT damit mein Twitter versauen, ok? |LBR| Bitte! |LBR| Danke!!!;1
Das passiert halt wenn Frauen und anständige Männer auswandern. Der Osten wird brauner, der Westen grüner. Wenigstens bleibt das abgehängte Faschopack zunehmend unter sich.;1
Hinterfotzig sind eure Bullen,mit 4 auf einen und dann haut der Milchbubi noch wie ein 3 jähriger von oben auf den Kopf. Aber ihr dummen ???? Schafe benennt ja auch nen Sportplatz nach nem Kriminellen. Bevor ihr auf andere Staaten zeigt, von wegen Polizeigewalt,kehrt vor eurer Tür.;1
https://t.co/WghZ7rT1G7;0
Wie kann eine „deutsche Politikerin“, die einem Schild „Deutschland, du mieses Stück Sch......“ herläuft, überhaupt jemals wieder den Mund aufmachen??? WER hört so einer Person zu?;0
Also ich fühle mich nicht diskriminiert. Im Gegenteil, ich finds gut, dass Neuer die Regenbogenbinde trägt.  Er positioniert sich gegen Homophobie. Und was soll der Begriff „normale-hetero“ uns sagen? Dass LGBTQ- Menschen nicht normal sind? Dies wird hier suggeriert;0
LOL. Die Parolen der Linksfaschisten werden auch immer dämlicher.;1
Die US-Wahlen 2020 Das Horoskop des Präsidentschaftskandidaten And the winner is - Joe Biden Wahlforscher, lasst uns doch nicht länger leiden – ins Amt kommt bitteschön Joe Biden! Selten war das Ergebnis der Auseinandersetzung um die Präsidentschaft der Vereinigten Staaten so eindeutig vorhersehbar wie 2020 – jedenfalls aus kosmischer Sicht. Obgleich sich der demokratische Herausforderer während des gesamten Wahljahres nicht unbedingt gemocht fühlt, ja sogar einsam und melancholisch, so hat er dennoch einen Trumpf in der Hand, der in der Öffentlichkeit sticht: er hat die seriöseren, die glaubwürdigeren, vor allem die verlässlicheren Argumente! Und die werden zunehmend den Ausschlag geben. Joe Biden wird ab dem 10. Oktober bis zum Wahltag immer mehr argumentative Punkte sammeln. Zudem bietet sein Horoskop eine Projektionsfläche, die kollektive Sehnsüchte anzieht wie duftender Lavendel die Bienen. Selbst, wenn diese Wünsche anschließend nicht alle erfüllt werden. Diese Konstellation ähnelt der des Wahlkämpfers Helmut Kohl, der im Juli 1990 von den blühenden Landschaften im Osten schwärmte. Es ist, als sehnte sich die Mehrheit der Amerikaner nach der Ära eines missratenen Republikaners wieder nach einem Heilsbringer, nach einem Präsidenten, der für alle da ist. Die Bevölkerung spürt, das da wirklich einer ist, der den Vereinigten Staaten dienen will. Und das gibt definitiv am Dienstag, dem 03. November, den Ausschlag! © Jörg Vos, 28.09.2020;1
Das sehe ich auch so. Und ich merke bei mir , das ich immer mehr Wiederstanswillen entwickle , desto mehr die Hofschranzen in Berlin uns zu Extremisten stempeln wollen. Wir müssen gegen die Machtergreifung der Linksdrehenden Minderheiten aufstehen , sonst ist es bald zu spät.;1
Oh Gott, sowas muss man noch im Netz posten? Ein Schreiben und das Ding ist aus der Welt. Aber man kann daraus auch eine ganz große Verschwörung machen. So versuchen sich unwichtige Menschen wichtig zu machen.;0
- Dieser Kommentar ist schlimmer hier gefunden -!!!!! Diesem braunen Schwachkopf Junge gönne ich eine Mittelmeerbootfahrt. Im Gummiboot. Ohne Schwimmweste und schwerer See. Verstehe nicht, warum man so einem degenerierten Trottel Sendezeit einräumt!? Diese Affen präsentieren sich auf so vielfältige Art und Weise und immer dieselbe Scheiße. Lübcke „musste“ sterben und Typen wie der Junge leben weiter. Irgendwie schon nicht ganz nachvollziehbar, was dass Universum so treibt.;1
Daß der Staat zunächst das Geld der Bürger an sich reißt, um es angeblich gerechter zu verteilen, nennt man Sozialismus. War kein Erfolgsmodell, falls sie sich erinnern??;0
Wie müssen Merkel und die Alt Parteien los werden, denn den verschwindet auch das Virus. Ich lasse mich auch nicht Impfen, weil das Virus in Berlin sitzt.;1
Wäre das spannendste an dem Spiel gewesen ¯\_(?)_/¯;0
"Mit unserer europäischen Betrachtungsweise kommen wir nicht weiter. Man wird mir Antiamerikanismus vorwefen, wenn ich die aktuelle Situation in den USA unter historischen Aspekten betrachte. Der derzeitige Präsident forciert einen gewachsenen Antagonismus. Amerika ist ein Land, in welches aus aller Damen und Herren Länder jene weißen Menschen eingewandert sind, die das Gefühl hatten, in ihren Herkunftsländern zu wenig Freiheiten zu haben. Das Freiheitsdenken des Individuums hatte von Beginn der Zuwanderung höhere Priorität als die Solidargemeinschaft. Das daraus resultierende Waffenrecht schuf ""den wilden Westen."" Die wirtschaftliche Entwicklung erfuhr eine große Dynamik, indem man den Ureinwohnern Land- Boden- und Naturschätze wegnahm. Man verdrängte sie in Reservate und nahm die Angebote von Sklavenhändlern gerne an, aus den europäischen Kolonien und freien Ländern Afrikas billige Arbeitskräfte ins Land zu holen. Dass diese Menschen völlig andere Lebensbedingungen vorfanden, dass sie unendliche Mühen hatten, ihren Lebensunterhalt zu sichern, liegt auf der Hand. Sie wurden maßlos diskriminiert und ausgebeutet, was sich bis zum heutigen Tag auswirkt. Je schwieriger die Zeiten und Probleme sich entwickeln, umso größer wird der Drang mancher Freiheitsstatuisten, die Gründe für die eigenen Missgeschicke bei ""wehrlosen Minderheiten"" zu suchen. Da kommt ein Taktgeber, wie wir ihn gerade erleben, gerade recht.";1
a drutscherl de Türkin.;0
Moin zusammen <U+0001F44B><U+0001F44B><U+0001F44B> |LBR| Es ist arschkalt draußen. Aber mit der Wärme im Herzen und einem starken Willen werden wir auch heute unsere Ziele erreichen. #MiracleMorning;1
Warum sollte er eine schlimmen Verlauf haben? Die Wahrscheinlichkeit geht fast gegen Null. Was soll diese heuchlerische Dauerschleife?Ich wünsche doch auch keinem das er heute NICHT im Straßenverkehr verunglückt.Was passiert hier mit uns?;0
in dem keine grünen wohnen schätzungsweise,Grün ist nämlich Synonym für mind. obere Mittelschicht,hab dem Böhmermann auch geschrieben er soll doch mal ein Jahr in einem Mehrfamilienhaus in Duisburg Marxloh wohnen,der Heuchler.;0
......es gab doch da mal eine Oligarchen-Nichte, die uns allen gezeigt hat, was passiert, wenn man mit Rechten spricht....!    https://t.co/eBhET3s7Aj;0
Sogar unter dem Tweet wieder spammende #GEZ-WDR-Trolle??! Der #Rundfunkbeitrag-zwangsfinanzierte ÖRR gehört entschlackt! Es kommt der Tag, an dem Buhrow u Co in Regress genommen werden, Schmerzensgeld/Schadenersatz leisten! #AfD #freegeorgthiel #GeorgThiel https://t.co/UVTNpOsZwq;1
Spannend. |LBR| Klein-Karl ist ja angeblich auch Arzt und kritisiert jetzt die Ärzte, die die politisch motivierten Grenzwerte als Unsinn bezeichnen. |LBR| Was für ein Arzt ist Klein-Karl eigentlich?!?;1
der rotzt aber ketamin dann;1
Wir lieben unsere Heimat ohne Merkel logisch diese Verräterin Stasi Braut;1
UN Sicherheitsrat!  Russland und auch Syrien haben die Chemiewaffen Konvention,wie auch alle UN Mitglieder,zur nicht Einsetzung und völliger Vernichtung von Chemiewaffen,unterzeichnetRussland hat sich als Garantiemacht,das Syrien alle Chemiewaffen zerstört!;1
Die Aktivist:innen haben in Emden nichts gestohlen sondern die Schlüssel vorübergehend sichergestellt. Sie haben gegen die Zerstörung ihre Zukunft demonstriert. Denn auch wenn VW sich als Vorreiter platzieren möchte verkauft er weiterhin zu 95% Verbrenner.;0
Leider kommt sie für mich unglaubwürdig rüber. Ich habe den Eindruck das sie ihren Coronafall zum / als Wahlkampf nutzt ...;1
Anders kannste mit dem Türken auch garnicht reden,... und abgefüllte Vollscheisse Ballons hat nicht nur Europa in Unmassen.;1
Du kannst mir mal ordentlich meinen AfD Wähler Arsch lecken du Ausländer ???????;1
Warum wird gegen dir Rechte Szene und die gewaltigen Linken nicht härter vorgegangen? Wenn ich dieses Nazi Gesindel sehe wie sie ihren rechten Arm zum Hitler Gruß heben wünsche ich mir jedes mal dass ihnen der Arm langsam abfault.;1
Journalismus hat nicht neutral zu sein. Das ist kein Leitmotiv journalistischer Arbeit und wird auch nirgendwo in der journalistischen Ausbildung so gelehrt. Außerdem handelt es sich nicht um eine Nachrichtensendung, sondern um eine Talkshow.;1
Sehr spannend. |LBR| Die ersten linksfaschistischen Wirrköpfe fordern, dass das Militär in #Venezuela gegen die neue Übergangsregierung von #Guaido putscht und einen Bürgerkrieg anzettelt.;1
Hat so bissl was Unheimliches an sich, wie in einem Thriller - «Tangofranz schlägt zurück».     Die Römisch-Katholische Kirche startet im 21. Jahrhundert mglw. erneut die Christianisierung des Abendlandes.    Fazit: Nüscht jenauet wees'ma nich!     #FragenÜberFragen;0
Das steht im Text.;0
Hübscher Trick.... den Drachen herbeifantasieren damit man ihn bekämpfen kann.... sorry aber das ist mir bissel zu Nazi..;1
"Da wird man aber lange drauf warten , da solches ganz bestimmt vorher ""intern "" schon abgeklärt wird. Pro AfD im ÖR ? Ich glaube das werden wir niemals erleben.";0
Und genau das meine ich egal zu welchen Thema mehr Pro als Contra. Nicht ein Kommentar was die Zuschauer von einigen Gästen halten und was für ein Mist da einige von sich geben. Nehmen Sie den letzten Gast:Diess der Mann ist eine Zumutung für die Arbeitnehmer der bekommt sich wie ein Sonnenkönig.Und so einer bekommt mich ein Forum wo er seinen Blödsinn los werden kann.Gegen ihn wird auch noch ermittelt aber das geht den Herrn am.....vorbei. Schade.Leider hat ihre Sendung in letzter Zeit an Sprengstoff verloren.;0
wieso nicht?;1
Das gehört so....das ist Teil der Stiefel...<U+0001F623><U+0001F616>;0
Moin zusammen <U+0001F44B><U+0001F44B><U+0001F44B> |LBR| Der erste Freitag in 2019. Das ging aber schnell.;0
du bist halt zuerst entfolgt aber ok;0
"Erstens tut dies Mareile gar nicht und zweitens werfen AfDeppen doch vielen Deutschen so gern vor ""antideutsch"" (und das nicht im Sinne des ideologiekritischen Begriffs) zu sein.  Wo ist da die Kohärenz?";1
Genau, außer Saufen fällt Anhängern der völkisch-nationalistischen AfD auch nichts ein.;1
man sollte solche Pöbler, die auch Kurt Tucholsky vergewaltigen, öffentlich stehen lassen. Was muss sich Herr uns seine Gäste noch gefallen lassen??;1
Wenn die #KlimaReligion die #Aufklärung auslacht:    #Ehrendoktor für ein Kind mit Hauptschulabschluss, welches regelmäßig die Schule geschwänzt hat ... lustiger wird es heute wohl nicht mehr?    #DummMenschen https://t.co/AeCeXftfFl;1
Was bedeutet 'ein Ergebnis EINFAHREN'? Der Politikbetrieb ist ein Phrasengenerationsproduzent.;0
Schaut euch mal die 'Gegendemonstranten' von #Chemnitz genau an! Überwiegend #Migranten, die schon gut Deutsch können: 'Nie wieder Deutschland', brüllen sie. https://t.co/jheNY4FNNm;0
Hallo. Habe heute noch einen schwierigen, herausfordernden Tag vor mir und bitte drückt mir mal die Daumen für ein paar Stunden. Danke. 😊;0
#Offenburg: Somalier greift nachts auf der Straße einen Senioren an, tritt derart massiv auf den am Boden liegenden 75-Jährigen ein, dass er mit schweren #Kopfverletzungen ins Krankenhaus gebracht wird   https://t.co/M5ynYt2ZtM;0
"Schau dir ""ESKALATION! GRÜNEN-CHEFIN Baerbock DROHT UNS!"" auf YouTube an https://t.co/0NCjufWqem diese dumme Kuh von Baerbock wir müssen es verhindern das die drecks verlogene Partei die Grünen an die Macht von Deutschland kommt";1
die, die sich nicht dranhalten, spalten!;1
Links gegen Rechts..., Rechts gegen Links! Ich lehne mich zurück und sehe mir die Schlacht an... 😉😂 Beide Seiten kranke Spinner!;1
Mich widert dieses Verhalten einfach nur an. Dieses dumme auf dicke Hose machen. Letztlich geht es aber nur weil diese Leute Narrenfreiheit haben und dies auch wissen. Ihnen passiert nichts.;0
Hmh... eigentlich is es mir wurschd was die machen! Im Endeffekt ist dieses ganze Schwulen/Queer/Trans/Tschäääänder Gedöns unendlich laaangweilig! Es nervt total! Ich als Hetero schrei auch  nicht die ganze Zeit rum dass ich auf Pussys und Titten steh!;1
Was haben diese Leute aus Hollywood sich in die Bürgermeisterwahl in Görlitz einzumischen? Da kann doch nur  Hillary Clinton mit ihren Beziehungen nachgeholfen haben.;0
��;1
Was ich schon befürchtet hatte, ist jetzt eingetroffen. Zukünftig werde ich diesen Account und den angeschlossenen Blog ohne die gute und tatkräftige Unterstützung alleine fortführen, leider.;0
Bist ja das beste Beispiel. Darfst hier auch reinrülpsen und uns belustigen;0
Das ist zu simplifiziert: neue Medikament KOMMEN auf den Markt, auch wenn es noch ein anderes Medikament mit laufendem Patent gibt, sofern diese neuen Medikamente a) eine höhere Heilungsrate oder b) weniger Nebenwirkungen haben. Das ist regulatorisch geregelt.;0
Grüne S.-schnauze Baerbock versucht den Mordversuch auf den AfD Politiker Magnitz zu relativieren. Mit den Worten: Wer Hass sät wird Hass ernten. Unterirdisch dämlich! Danach müssten Sie Frau Baerbock, eigentlich das Opfer sein. Keiner Hasst mehr wie Grüne u. ihre Antifa.;1
Autoschlüssel klauen kickt die nicht mehr.;0
Dann scheinst du noch nicht genug über die Union zu wissen.;0
Das ist Ralf !   Ralf ist ein Egoist !  Er hat schon als Säugling die Brüste seiner Mami leer gesoffen.👍👍 https://t.co/4Xu98qLAaY;0
Weil die Bunten außer poppen nicht anderen gelernt haben nichts anderes können das ist nachweisbar, die sind alle nur noch Schwanzgesteuert , was für eine kranke Welt;1
dagegen habe ich keinen Einwand!;0
Das ist ja das Schlimme daran, es sind zum Teil Deutsche Staatsbürger.;0
