,Text
739,wenn sie der zahlreich video dieser aktion in netz folgen --   sein ihr unterstellung schnell widerlegen -- --
740,sie warten auf der haltungsanweisung der grüne diktator
741,haben der tweet mal speichern -- bevor ich der herr blocken haben -- ich sein promoviert naturwissenschaftlerin -- -- -- -- -- -- 
742,gut zu wissen -- nach ein # covid19-impfung können der # mammografie-befund auffälligkeit zeigen -- der normalerweise auf ein bösartig veränderung hindeuten können -- krebs -- -- tatsächlich aber nur auf der impfung zurückführen und vorübergehend sein -- 
743,ja -- der kartoffel kommen aus amerika --  nein -- wir bilden uns nichts auf der kartoffel ein -- unser kultur bestehen schließlich aus weißwurst -- sauerkraut -- brezel und bier --  hochschulmathe sein eh scheiße
744,echt -- ganz ehrlich -- bevor man dünnschiss von sich geben -- helfen es manchmal sich vorher zumindest ein wenig schlau zu machen --  zu bestimmt tag werden finden ein beflaggung öffentlich gebäude statt -- der 1.mai gehören dazu -- # b0105  
745,ich haben der hier auf facebook finden -- halten es aber für ein fake -- wie sein ihr meinung dazu -- 
746,wieso kein bericht zu   # divigate --  sein dieser korruption nationaler tragweite   nicht in auftrag --  bananenrepublik --  
747,1. müssen polizeibeamter in einsatz kein maske tragen --  2. bei der leerdenker idiot werden vereinzelt genauso durchgegriffen -- der liegen daran der der querdenker meist einfach kein maske tragen und dort nur vereinzelt person eskalier --
748,lieb ein hinterwäldler als ein krepiert grün frontschütze -- der in d nur rassist und nazi ausfindig machen -- wer so ein primitiv wahlpolitik betreiben -- dürfen niemals wählen werden --
749,kohl sein ein korrupt -- -- -- von eurer laschet halten ich auch nix -- -- -- -- -- -- --
750,"richtige deutsche gehen nicht in ein shisha-bar sondern auf ein # querdenker-demo --  natürlich nur mit -- ungeimpft""-stern --"
751,der antisemitismus sein bei tourette leider begleiterkrankung -- genau darauf möchten er aufmerksam machen -- 
752,da sein der pandemie und der steigend inzidenz nix neue ] -- man haben kaum über unser problem reden und nur fordern -- und wir haben der größtenteils stillschweigend mitmachen -- sowas wie # allesdichtmach mit studierend geben es nicht -- oder alle habens verpassen -- --
753,sein er denn schon mal auf ein oder mehrere demos -- -- -- mit sicherheit nicht -- sonst werden er solch ein mist nicht sagen .. kaufen von merkel -- sollen mal antifant verbieten -- der zünden auto an und schmeissen stein ....
754,du sein einfach nur ein mies -- klein -- dreckig lügner  
755,bin ich ein nazi wenn ich feststellen -- dass der grüne dumm wie 10 m feldweg und hohl wie schnittlauch sein --  wenn unser schule weiter schließen bleiben und physik zu nebensache werden -- haben wir ein neu generation der solcher unsinn beifall spenden -- 
756,ganz einfach -- ich sein behindern in kopf
757,nicht so böse sein mit der bayrisch zäpfchen -- es machen ja auch nur wer mutti ihm in hirn sche ....
758,man nennen es -- scheinriese -- -- es können ja nun wirklich niemand aus der ausgangstweet lesen -- dass es kein nazi mehr geben --
759,wo kommen denn der zahl her --
760,sagt jemand -- der der genozid an der armenier leugnen -- -- --
761,der haben echt ordentlich eins an der waffel -- aber der querdenker werden dann der nächster sau durch dorf jagen und uns auf der sack gehen -- nachdem sie jetzt merken haben -- wieviel -- erwachte -- es mittlerweile geben --
762,nazi bleiben nazi und schäuble ein schwarz -- koffer mann -- --  # nazisraus aus unserm bundestag  # fckafd lügen  # september2021  kann man abwählen  # niemalscdu  # niemalscsu  # niemalsfdp  # niemalsspd  # niemalsafd  # cdurausausderregierung
763,mensch markus -- der drops sein lutschen -- der # union haben auf ganz linie verlieren -- dir haben ich es ja noch zutrauen -- aber nicht mit der ganz sauhaufen dahinter -- # laschet sein definitiv der untergang für -- -- -- -- -- aber dank kommen der sowieso -- und zwar richtig teuer --
764,warum nicht mal auf urlaub verzichten und zuhause gute tun -- wozu eigentlich brauchen wir urlaub -- noch dazu so weit weg -- der dürfen wir auch mal überdenken --
765,hoffentlich behalten dich -- dann kannst ihnen erklären welcher intelligent mensch du sein -- und der der rote der allerbester sein -- kein spur von korruption und immer nur in kampf gegen der pandemie -- lol --
766,laschet sein ok -- einer der weniger halbwegs empathisch politiker -- wegen ihm werden ich wohl doch wieder mal der cdu wählen --
767,ich machn mal nen verrückt vorschlag -- selbst gut sein und kein grund liefern -- warum ein wähler -- innen kein bock mehr auf der anderer partei haben -- unverständlich maßnahme -- impfdesaster -- korruption und berater -- innenausgabe -- helfen nicht gerade um vertrauen zu schaffen
768,der politisch system fürchten um sein macht --  der richterlich unabhängigkeit werden schon lange durch willig parteisoldat ersetzen --  auflösung aller altpartei um # machtmissbrauch # vetternwirtschaft # raffgier   # korruption   # vorteilsnahme # postengeschacher zu unterbinden --
769,quatsch --  dieser journalistenpack welcher dieser brief gegen reitschuster verfassen -- sein vergleichbar mit der gendergaga-pack -- der 2 -- 3 ablehnen  minderheit --  anmaßend --  undemokratisch --  diktatorisch --  feind der meinungsfreiheit  aber ein garantiert nicht -- sprecher für der bürger --
770,reitschuster gegen journalistisch --
771,noch ein beispiel -- 
772,warum gibt'sn in der politik korruption lobbyismus verband eigeninteresse arroganz selbstherrlich
773,nach über ein jahr pandemie bekommen ich noch immer nachricht -- -- ich sein kein querdenker aber es werden alle an licht kommen was wir vorhergesagen haben“ .... hören der mal auf -- muss ich noch gehen dieser küchentisch tiktok wissenschaftler argumentieren -- # pandemic # querdenker -- -- -- -- 
774,cem özdemir -- boris palmer oder winfried kretschmann -- dann haben a. laschet nicht nur ein riesenproblem sondern ein gigaproblem haben -- aber da sein der grüne wie der cdu -- sollen wir nicht der stark kandidat in rennen schicken -- nein genau damit rechnen der leute ja -- --
775,der schauspieler-luftpumpe sollen dort mal vier woche arbeitseinsatz leisten -- wahrscheinlich werden sie nach amnesty rufen -- nicht wegen der inder -- sondern wegen sich selbst -- so traurig --
776,1. der schwer fehler der kanzlerschaft merkel -- national und international klimasabotage -- darunter fallen jeder konferenz und jeder national wirken in ihr lobbykratie --  dann kommen sehr lange nix --  dann -- wie ein echo zu 1 -- sache wie der rassistisch dekadenz bez -- impfpatente --
777,nee -- du sein auf der völlig falsch fährte --
778,.... wer umfallen sein zeit sein leben politisch fertig .... der wollen beide nicht .... #merkel|s rache eben ..... und dieser tölpel in der haben locker mitspieln ...... bei der wahl zu parteivorsitzender .....
779,1 -- ich verstehen nicht ganz -- warum bei der thema -- rückgabe der recht für geimpfte -- nicht der tatsache beachten werden -- der an dienstag ansprechen -- und zwar der rückgang der iga-antikörper nach 2 - 3 monat -- es scheinen doch so zu sein -- daß geimpfter spätestens nach dieser
780,hahahahaha
781,söder for bundeskanzler -- germany brauchen ein macher -- kein murkser -- noch sein es nicht zu spät -- der druck in kessel steigen -- cdu mussen auf basis hören -- sonst können herr laschet sein plakat bald selber kleben -- bleiben sie dran -- herr söder --
782,laika können nicht anders -- panikmodus --
783,ja genau weil unser urgroßelter und großelter ja alle hitler deutschland nicht kennen -- --
784,nun -- der machen sie -- justin -- praktisch jeder tag -- wenn sie in ihr plastik-vw einsteigen und ihr verbrennerle zünden ..
785,und idiot wie du laufen mit extremist -- antidemokrat -- nazi -- faschist und sonstig pack durch der straße du wirst es nie begreifen -- schande über dich --
786,nora wieder unser medizinerin bezeichnen der hochwirksamen von intelligent mensch entwickelt impfstoff als gift -- unglaublich -- schuster was haben du nur für follower --
787,transe mit sexy arsch werden von hetero araber macho hart in der dusche ficken  # arabbitch
788,ein skandal -- wenn der staatsanwaltschaft u der polizei wegen der volksverhetzung nicht ermitteln u es verschieben -- einstellen werden -- gerade der chef der flügel u der sichern rechtsextreme # fckafd-thüringen -- mach dichn nicht lächerlich -- law -- order sein angeblich euer motto
789,der wer sie schreiben sein absolut verharmlosend -- dieser querdenker sein weit entfernt von demokratie und rechtsstaatlichkeit --
790,früh haben wir auch noch dinosaurier als haustier und haben in steinbruch arbeiten --
791,ich lassen sich so ein jauche niemals verimpfen -- -- --
792,zu glauben gehn ich in der kirche -- dann solltest dich mal fragen warum wir nicht   auf ein nenner kommen wär doch mal was -- es gehen mit nicht darum irgend wen zu überzeugen selber recherchieren alle hinterfragen
793,zwei jung tüpen mit umhängebox gehen zu netto -- ihr rapper verkünden -- -- dieser leute   der dich nazi nennen -- handeln wie der stasi -- -- rapmusik machen also wirklich dumm und gewalttätig --
794,autsch --
795,ich möchten einfach nur -- dass laschet an ende weinen --
796,ich haben selten zuvor etwas sehen -- wer so in der hose gehen sein -- wie dieser   versuch mit humor -- der keiner lustig finden -- ein spagat zwischen querdullis und vernunft hinkriegen -- warum nicht konsequent polonaise   vor reichstagsgebäude -- # allesdichtmach
797,ehrlich sagen halten wir sich schon lange nicht mehr an irgendwas -- gestern sein wir schön in venlo einkaufen und ein bierchen in café trinken -- für der kind geben es eis --  alle auf -- kein kontrolle --  -- --
798,+ querdenk sein based
799,sie sein vileicht ein nazi sie afd anhänger -- wegen solcher nazianhängern -- sein mein großvater in kz buchenwald   so halten sie ihr dumm mund -- reden sie nicht über ding der sie nicht kennen --
800,der sein mal ein -- interessant -- wahrnehmung -- -- -- -- -- -- -- team reality = der idiotenkeule
801,# weidel sehen nur friedlich bürger auf querdenker demos --  was für ein widerlich lügnerin --  # lanz
802,und frau baerbock können nichts als kanzlerin -- trotzdem werden sie aufstellen nur weil sie ein frau sein -- --  der laufen schief in dieser land
803,selbst wenn da nazi sein -- na und -- solange sie ihr parole nicht von sich geben und für der freiheit auf de straße gehen -- -- egal -- wer neben mir laufen -- der antifa -- genau son schei .. verein und auch da sein es egal -- wenn sie für der freiheit laufen -- kapieren ihr idis der   nicht --
804,ich habn sich immer schon ein bekloppt weib als kanzler wünschen -- der zu dämlich sein -- von teleprompter richtig ablesen -- kobold in batterie vermuten -- strom in netz speichern & amp -- fdp-politiker als -- nazi -- diffamieren -- macht international sicher voll eindruck -- so ein blödchen -- 
805,"schwer wiegen -- dass bouffier sich bei der wahl für luschet extrem schuldig gemacht -- --  der niveau der politik und politiker in deutschland????bewegt   ich nahe 0,0 --  man wenden sich mit grausen -- --  wie können es zu dieser tiefpunkt kommen -- --  aller macht gehen von merkel aus -- --  der antwort"
806,sein nicht so hart mit dir --
807,nur weil dir ihr video gewaltig gegen der strich gehen -- haben sie nichts mit wissenschaft zu tun -- na -- merkste wat --
808,zu behaupten -- dass abendlich ausgangssperr ein -- hinreichend maßnahme zu bekämpfung der pandemie -- sein -- sein ebenso -- grob irreführend -- -- da mehrfach wissenschaftlich widerlegen --
809,ein unwichtig überflüssig sendung
810,wenn man sich tief mit der mazerie beschäftigen haben -- brauchen man nicht auf reitschuster verweisen -- offensichtlich haben du der nicht tun --
811,ja der vertrauen in der staatsmedium werden sich ganz bestimmt bezahlen machen --
812,mensch ihr vollhonks kapieren ihr nicht der der dieser  alt verbraucht frau merkel -- mitglied der sozialistisch einheitspartei sed -- in erika der tarnname   bei staatsicherheitsdienst -- der zehntausend bürger der ddr in gefängnis werfen hat
813,frage sie kind auch ob sie gegen polio -- diphtherie -- keuchhust oder auch tetanus impfen werden wollen --  oder in der schule wollen --  der beeinflussen ihr leben doch auch sehr nachhaltig --  mancher entscheidung muss treffen werden -- bevor der betroffener volljährig sein -- ¯\_(?)_/¯
814,klar -- der gay-community haben kein bock sich von immer mehr moslem durch der straße jagen zu lassen -- und der mit der -- wirtschaftlich selbstmord -- erzählen sie mal der brite -- der lachen über der döslig german der bald der eu-geldverbrennung alleine finanzieren dürfen -- lol
815,der vertrauen der bürger in der kompetenz der bureg verfallen in atemberaubend tempo -- schonungslos legen der umgang der merkel-bureg und ihr behörde mit der corona-pandemie offen -- wie schlecht es um der leistungsfähigkeit der öffentlich hand in deutschland bestellen sein -- 
816,beleg -- werden liefern schimpfen sich paul ehrlich institut dort nach zu lesen der rest sein holschuld = wissen oder mein time linie durch suchen alle dort verlinkt
817,inzidenzunabhängige maskenpflicht in unternehmen -- der führen dann sogar # nocovid ad absurdum -- wenn ein exitplan ein massnahme einfach so überhaupt nicht mehr vorsehen sein --
818,ich habn leider heute sozusagen ein -- rückfall -- -- wollen mich von politik-twitter eigentlich -- mehr -- fernhalten -- oder zumindest raushalten -- frisst zu viel zeit & amp -- energie -- bringen letztlich eh selten was -- zumindest bei der --  was gibt'sn -- vllt find ich wenigstens der spiel gut -- -- --
819,was ich sich frage aus was sein der rot # lippenstift bei der # gruenen --  grün kanzler-kandidatin annalena baerbock -- können sie der neu merkel werden -- 
820,# deutschlandabernormal bitte -- -- -- also raus mit eur braun schmodder samt panisch angst vor der zukunft --  # noafd # nonazi -- # afdrausausdenparlamenten denn # afdiststaatszersetzend  der planet erde verhandeln nicht -- -- --
821,bitte unbedingt befolgen ansonsten drohen implosion -- --  t
822,es sein # faschismus -- der sein vollkommen klar -- jeder der sich ein wenig mit der holocaust beschäftigen haben und vor alle mit der jüdisch leben vorher -- müssen der parallele erkennen -- allein der impfpriorisierung der barmer sprechen ein deutlich sprache # euthanasie
823,und sie tingeln mit ihr -- persönlich schätzung -- durch aller talkshow und verbreit panik -- der sein dann gut politik -- 
824,grünes feigenblatt -- eltern -- großelter d. fff generation müssen so ihr kognitiv dissonanz nicht wahrnehmen --  huldig weiter d. wunsch d. wirtschaft u. d. wachstumsparadigma -- obwohl entkoppelung v. ressourcenverbrauch u. wachstum noch nie gelingen --  stelle d. hart frage nicht --
825,der hier integriert steuerzahlend migrant -- der wirklich politisch verfolgter -- der geringverdiener -- geflohen christ und zb frau -- der dann ungewollt ihr is-peiniger in der flüchtingsunterkunft wiedersehen
826,blaunie sein jetzt aber wirklich intellektuell auf spitzenniveau --
827,aber der sein doch genau der punkt -- solange der entkopplung nur relativ bleiben -- sein nichts gewinnen und unbegrenzt wachstum sein nicht in ressourcenbegrenzt raum möglich -- nie wer anderer behaupten --
828,der stimmen ich zu --
829,ich sein seit über 20 jahr -- verschwörungstheoretiker -- und haben innerhalb ein jahr noch nie so vieler theorie sehen -- der realität werden --
830,der aufstieg von rechtspopulist werden durch mensch wie sie und anna baerbock möglich -- weil sie immer mehr mensch normal bürger als -- rassist -- bezeichnen und ausgrenzen -- dann wenden der sich auch noch rechts -- sie haben sie ja schon dahin schieben --
831,was sein an ein impfung gefährlich -- der nichtsnutz --
832,dafür brauchen es kein studie -- -- gangsta rap befördern antisemitismus -- der rapper sollen einmal zuerst ihr hirn einschalten -- -- -- -- -- --
833,-- afd in der bio aber ausländer mimen mit -- isch schwör -- -- der sein mir der lieb
834,ok -- ich helfen dir -- der da von jude vertreiben werden -- in der il-armee geben es nicht nur jude -- du ignorant --
835,wir beide sollen auch schlafen gehen --
836,durch der schlicht arbeiten -- haben du was zu essen auf der tisch -- ein dach über der kopf und kannen aller annehmlichkeit der leben genießen -- kannst ja mal probieren -- ob der ein schimpanse auch schaffen --
837,steinmeier haben einmal mehr zeigen der er nur ein merkel-marionette sein -- der werden alle unterschreiben was sie ihm vorlegen -- inklusive ein benutzen blatt klopapier -- -- -- dieser mann sein ein schande für sein amt -- -- --
838,deine aussage sein vollkommen daneben ;) zahlen leute kein steuer habn sie nich der recht haus zu wohnen so einfach sein der so funktionieren rechtsstaat -- davon verstehen moslem nix da machen man ehrenmorde und so nen scheiß
839,eigentlich wollen ich gar nichts dazu sagen -- aber mich nerven dieser permanent schutz der welt mit der schlagmichtotbegriff -- antisemitismus -- -- es mussen möglich sein -- auch israel 76 jahr nach kriegsende zu kritisieren -- ernsthaft zu kritisieren -- der sein kein heilige -- punkt
840,juchhuuu -- schon 2 jahr hier --  wir # omasgegenrechts aktionsbündnis # mettmann haben uns in april 2019 gründen + schon bald danach anfangen -- zu zwitschern --  danke an alle -- der uns bisher begleiten haben -- danke aller followern --  # gemeinsam gegen # rassismus   # meintwitterjubiläum 
841,glaube sie mir niemand wollen unser geschichte auslöschen -- der grausam geschehnis dürfen nicht vergessen werden -- deswegen dürfen sowas wie der afd nicht erstarken --
842,welch fremdenhass gegen ihr partnerin -- sie sollen lernen wie man glaubwürdig argumentieren --
843,freiheit sein -- der zu tun wozu man lust haben -- auto fahren -- fliegen -- kein mainstream-framing -- sich nicht von minderheit bestimmen lassen wie in -- -- -- -- -- konservativ sein zu dürfen ohne gleich als nazi zu gelten --   freiheit und demokratie sein -- wie ich sie aus der alt brd kennen --
844,luisa neubauer -- fff und der antisemitismus 
845,du gehörst nicht zu elite -- denn du tun was dir befohlen werden -- während sie der eigen regel nicht befolgen -- der unterscheiden dich von der -- schau dir der bild genau an -- sein es 6 -- 50 oder 100 leute auf der bild -- sitzen kind in klasse und tragen maske -- alice weidel
846,was anderer wie jetzt der grüne zu attackieren haben der cdu auch nicht mit ihr ungeliebt kanzlerkandidat laschet /maaßen -- merz zu bieten und sprechen   dafür wie unfähig sie sein -- ein armutszeugnis was für sich selbst sprechen --
847,ich sein seit einiger woche begeistert online leser und ich mussen sagen -- der machen ihr arbeit gut und der # haltdiefressespringerpresse   oder so sein intolerant und undemokratisch --
848,[ sinngemäß ] -- baerbock sein dumm weil sie links sein und ungeeignet weil ihr regierungserfahrung fehlen --  es nerven -- wie sich teil aus der rechter lager überlegen fühlen -- indem sie jeder links von ihnen als dumm diffamieren --
849,zu young leader werden nicht jede*r wählen -- nur mal so ein sache -- wo mehr als nur der link grün   versifft hippie feministinne finden dass acab was können
850,antisemitismus sein nr.8 trending hashtag in de in letzter 4 stunde --  # antisemitismus
851,bei impfen -- sein echt nicht alle schiefgelaufen -- -- finden merkel  wenn merkel so schnell impfstoff von biontech bestellen haben wie sie sozialschmarotzer in land holen werden in deutschland alle wieder normal jetzt tun sie so als wenn wir schuld haben --
852,ich finden der idee super -- vielleicht kapieren so auch mal der letzter idiot -- was der für ein dämlich partei sein -- der sie da wählen wollen -- super idee -- mehr davon -- ihr dämlich blau nazi -- bitte mehr davon --
853,der rot punkt mensch machen ein einfach nur noch sprachlos  bilden eur eigen sekte -- ein lebensgemeinschaft in ein abgeriegelt dorf am gut da können ihr leben und essen was ihr wollen -- aber lassen uns normal mensch bitte mit eur weisheite in frieden --  danke
854,wie heißen dein vater --  erwin blockwart -- -- -- --
855,ich möchten -- dass der mauer wieder aufbauen werden --    # lügner # laschet sein der gut kandidat --   ein opportunist und notfalls # rechtspopulist  ohne osten sein der längst klären --
856,heul nicht rum und laber bitte nicht von rechtsstaatlichkeit -- deine partei haben maßgeblich dazu beitragen -- dass es in d polizeigesetze geben -- der mehr mit ein diktatur als mit ein demokratisch rechtsstaat zu tun haben --
857,ein groß teil der # zuwanderer aus der # nahenosten glauben hierzulande -- sein kümmerlich gesellschaftsbild auf deutschland übertragen zu können -- geflohen -- um zu arbeiten -- frei zu sein -- nutzen sie dieser freiheit -- aber bekämpfen unser offen gesellschaft -- 
858,ich bitten aller wähler der cdu -- welcher sich -wie ich von dieser partei betrügen fühlen konsequent zu sein -- aus der partei austreten -- sie nie mehr wählen -- zumindest bis laschet -- schäuble und bouffier nichts mehr zu sagen haben -- -- betrüger haben in der politik nichts -- --
859,bitte ein seriös beleg für dieser schwachsinn --
860,da sehen man -- wie sehr der # cdu der # klimakrise ernst nehmen -- ein scheißdreck interessieren es der -- 
861,der antifa bedienen sich faschistisch methode und der grüne klatschen beifall -- der zukunft werden großartig sein -- ich hören schon der satz in ohr klingen -- -- der haben doch keiner ahnen können --   doch jeder sehen es -- sagen tun der wenigstens etwas -- ruckzuck geben es repression --
862,der schweiz sein der ganz zeit recht locker unterwegs und der zahl sinken trotzdem -- wie erklären sie sich der -- 
863,gerne nochmal -- nicht aller schüler sein kind -- bestenfalls sein wir erwachsene schüler einfach nicht in bewusstsein -- schlimmstenfalls sein wir einfach egal -- unser gesundheit werden seit monat stark gefährden -- ab montag kein maskenpflicht in klasse in hb -- der sein wahnsinn --
864,# eu # vonderleyen # cdu wollen geimpft einreisen lassen -- wer bezahlen der für der vernichtung der eu # impfstoff # impfdesaster # korruption wer stoppen der irre -- in thailand zb müssen   geimpfen in quarantäne -- weil unklar sein -- ob sie nicht weiter ansteckend sein 
865,man haben der polizei rufen sollen -- von wegen -- als querdenker verkleidet linksextremisten -- -- der haben schwung bringen -- -- -- -- -- -- -- --
866,laschet holen merz in sein wahlkampfteam --  wie dumm muss man sein --  der sein ja so -- als werden sich der anonym alkoholiker jack daniels als berater holen --  # laschet # merz # cdu # bundestagswahl # wahlkampf
867,achso deswegen nennen es der afd politiker auch -- terrorisieren -- und -- fluten -- der postfächer .... vielleicht sollen der afd mal mit richtig politik anfangen -- anstatt immer dieser kindergarten scheiße abziehen -- dann werden man möglw auch mal mit ihnen reden
868,der sollen -- wie ich jetzt mitbekommen hab -- querdenker ansprechen -- bzw tun es der -- egal wer es eigentlich sollen -- aber der veranstalter -- macher sein anfangs schon an corona verharmlosen also deuten genug darauf hin
869,ich finden # laschet   überraschend souverän -- # soeder haben da viel dümmer reagieren
870,der sein richtig -- abschieben machts dann hier und überall schlimm --
871,halten sie ihr   dumm maul --
872,mein güte -- haben der irgendjemand behaupten -- ich jedenfalls nicht -- es gehen um ein gewiß blindheit gegenüber freiheitsrecht in der corona-debatte -- freiheitsrecht -- der verhindern sollen -- dass aus bürger*inner untertan werden -- ach -- wenn wir sich doch nur zuhören werden --
873,gender -- neutral
874,der sein doch nichts neue der der uns antifa mit der sa vergleichen eigentlich wenn mensch es aus der warte und der brauen gesinnung sehen ein ritterschlag -- -- -- -- -- sie wissen einfach nicht wovon sie reden und rülpsen der erbrochene wer sie von ihr sekte guru aufgeschnappt
875,viel wahr als ihr geschwurbel -- trixi -- sein -- der afd spalten sich als rechtsradikal faschistenhorde von aller demokratisch bewegung    in deutschland ab --
876,aha
877,nur ein extrem dumm mensch können solcher müll schreiben -- linksextrem sein kein deut gut als nazi -- denn auch dieser sein nur menschenverachtend abschaum --
878,viel glück -- es werden zeit -- dass der afd endlich in erster bundesland stark kraft werden -- -- --
879,da sein sie dann aber schon bereit genau hinzusehen -- so etwas nennen sich # einäugigkeit --
880,-- 3 -- da aber schwierig mutation wahrscheinlich sein -- schützen am gut vorhanden breit impfschutz in bevölkerung -- weil selbst bei infektion nach impfung mit mutante superspreading unwahrscheinlich sein brein sich in land mit vieler geimpft der mutation nicht aus
881,hier entlarven sich der -- @tagesspiegel -- selbst --   ein hetzjagd -- wie er in bilderbuch stehen -- widerwärtiges blatt -- wieviel haben euch # bill überweisen -- # korruptemedien # allesdichtmach   
882,# erfurt  # twitter oder # facebook -- der braun sumpf sein wieder kräftig an blubbern --  der giftig modder der # rassist + # faschist ergießen sich in der kommentarspalt --  # fckafd # fcknzs  -- -- -- -- -- -- -- --
883,der wissenschaftlich hochklassig oxford studie sein von der autor als nicht auf deutsch situation übertragbar einstufen werden -- in hessen haben ausgangssperre kein effekt -- drinnen lauern der gefahr -- -- --  # openairstattausgangssperre  
884,dummfreche # reemtsmagör   haben nichts in der medium zu suchen -- anne wollen schritt nicht ein und laschet haben auch ein klar absage erteilen müssen -- sehr schwach --
885,wir denken da eher an so exemplar wie sie --
886,in gegnteil -- schau mal wer von lockdown profitieren -- der bosse haben gewinn machen wie nie -- der schüler*in und studierend -- mensch mit psychisch problem --   der leute aus der ghetto der sich nach der arbeit nochmal mit n bier entsannen wollen werden jagen --
887,ich sagen direkt mal mein meinung -- ich werden account mit klarnamen begrüßen -- es sein kein allumfassend schutz -- jedoch bestehen der möglichkeit ein weniger mehr sachlichkeit zu bekommen -- so zumindest mein gedanke -- pro und contra -- beide absolut verständlich --
888,an der vertan chance -- der laissez-fair -- tragen    # lindern und # kubicki mit ihr ignorant auftritt in der talkshow massgeblich bei --  sie setzen in dieser sensibel zeit durchweg falsch signal an der bevölkerung -- nicht nur an der # querdenker --
889,ein weit über aller maß betrügerisch manöver der grünlink schwarze -- der feigenblatt maaßen zu installieren -- um allzu schlicht natur davon abhalten -- der ehrlich konservativ blaue original zu wählen --
890,finger weg von der impfung gesund kind mit unerprobt impfstoff -- herr gesundheitsökonom lauterbach --  verdammt nochmal --
891,ich habs von rtl -- -- --
892,was sie schreiben sein falsch und sie wissen es -- sie machen sich zu werkzeug der jakobinisch hetzer in ihr partei --
893,universell recht werden absichtlich über der norm ein undeutend bürokratie stellen -- um der büchse der pandora schließen zu halten -- ihresgleichen haben der öffnen und der recht auf flucht faktisch abschaffen -- der blut der flüchtling kleben auch an ihr hand --
894,lkw fahrer entscheiden auch -- z.b in berlin in advent
895,immerhin --  aber der heißen ja auch -- dass selbst bei 100 % impfquote noch 20 % erkranken können -- der sein ja immer noch viel zu viele --  könnte ein dritter impfung -- ggf. mit ein anders geartet impfstoff -- der schutz erhöhen --
896,ich sein nicht einfach der meinung dieser oger buttergollem brauchen dringend ein rechnung von karma -- -- der hatt aller schlimme der welt und mehr verdienen dieser erbärmlich perverse und geitig behindert bildungsstand vong ahh frosch -- -- -- -- -- und sein aussage wegen holocosta ..
897,absolut --
898,klein korrektur -- der wegen # korruption angeklagt marcus held sein noch immer mdb -- und in der wohl gelitten -- jedenfalls werden er bisher nicht ausschließen -- der sein -- sein in # örr aber kein thema -- 
899,bestimmen nicht der pass -- deutsche --  lieg nur weiter in dein strandkorb und guck weg du horst
900,eltern der der stiko folgen -- politiker der entgegen der stiko kind impfen wollen sein machtbesessen verbrecher --
901,wtf weißen du was du der sog. querdenker gerade damit unterstellst -- an dein stelle werden ich mal gut ganz vorsichtig sein sowas hier hin zu schreiben -- idiot wie du werden immer mit der regierung mitlaufen und es nie begreifen -- schande über dich --
902,-- -- -- -- -- -- wenn du dein gross vorbild meinst .. der heißen heidrich
903,ja genau lassen uns alle darauf vertrauen dass der lieben -- gutmütig investor und unternehmer unser klima schon ausreichend schützen -- sein ja nur unser zukunft --
904,hast sicher ne gut begründung für dein anderer meinung --   magst du der mit uns teilen -- und hoffentlich greifen dich dann nicht irgendein miesepeter persönlich an --  ein cool austausch auf der sachebene mit andersdenkend machen spaß .. probier's mal -- --
905,lehrer*in an schule erkennen antisemitismus oft nicht und betroffener verheimlichen ihr jüdisch identität -- um nicht opfer von gewalt zu werden --   # zettrepeat
906,sorry -- aber wenn sie 30 jahr in der cdu sein und der radikal links ruck seit der gut frau merkel hinnehmen können und jetzt ein problem mit ein herr maaßen haben dann sein sie von erster tag an in der falsch partei --
907,liebes gehirn --  wenn ich mike krüger in der tl ohne ton sehen -- heißen der nicht -- der du mir  der nippel durch der lasche ziehen -- auch nicht lasche durch laschet ersetzen -- als ohrwurm geben sollst -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
908,-- -- jemand der sowas schreiben folgen arte .. komisch
909,typisch deutsch gehorsam -- sie rufen gerade dazu auf -- ein gesetz zu brechen -- wer der beitrag nicht wollen -- muss anderweitig dagegen kämpfen --  oder verweigern wir zukünftig auch knöllchen -- steuer oder sonstwas -- wenn uns danach sein --
910,kein entschuldigung -- ich mussen sie monatlich zwangsfinanzier da sollen man erwartendas nach solcher eklatant verleumdung der sender konsequenz ziehen und ihnen und ihr selbstgerecht art der stuhl vor der tür stellen --  # willrausschmeisse
911,ein gewiß gleichberechtigung werden genau der bedeuten -- wenn sich zwei stolz gruppe gegenüberstehen -- können man frieden aber ganz sicher nicht erbomben -- ohne dass einer der gruppe total auslöschen werden -- und der wollen hoffentlich niemand hier --
912,damit der tweet nicht von der falsch seite instrumentalisieren werden --   putin kaufen sein bundestagsabgeordneter auf der rechter seite der plenum -- 
913,man können auch dumm treu sein -- fakt sein -- bei herr laschet stellen der grüne der kanzler -- wer   der bevölkerung ignorieren -- der jung union auch -- graben sich nun mal selbst sein grab
914,@afdimbundestag was # gewimmerbrandner so   # ekelhafdes auf sein toilette verfassen -- sein nur zu runterspüle geeignet und nehmen kein klar denkend mensch mehr ernst --  -- -- -- -- -- --  # afdrausausdenparlamenten 
915,-- -- -- -- -- --
916,man können sich durch schwule trotzdem angeekelt fühlen ohne ein phobie entwickeln zu müssen -- kennen auch einer und finden ihn menschlich i. o.
